Category Load;Category PV;Category Battery;Load profile;PV System;Battery;PV Mode;Battery Power;Behaviour
3;3;2;7;10;3;2;0.25;11
3;3;3;12;10;7;2;0.583333333;11
3;3;4;5;10;12;2;1;11
3;4;1;12;15;0.1;2;0.008333333;11
3;4;2;5;15;3;2;0.25;11
3;4;3;5;15;7;2;0.583333333;11
3;4;4;7;15;12;2;1;11
4;1;1;13;0.1;0.1;2;0.008333333;11
4;1;2;17;0.1;3;2;0.25;11
4;1;3;15;0.1;7;2;0.583333333;11
4;1;4;16;0.1;12;2;1;11
4;2;1;16;5;0.1;2;0.008333333;11
4;2;2;15;5;3;2;0.25;11
4;2;3;17;5;7;2;0.583333333;11
4;2;4;13;5;12;2;1;11
4;3;1;13;10;0.1;2;0.008333333;11
4;3;2;16;10;3;2;0.25;11
4;3;3;17;10;7;2;0.583333333;11
4;3;4;15;10;12;2;1;11
4;4;1;17;15;0.1;2;0.008333333;11
4;4;2;15;15;3;2;0.25;11
4;4;3;16;15;7;2;0.583333333;11
4;4;4;13;15;12;2;1;11
