Datetime;Load Energy [kWh];SLP-Energy [kWh];PV-Energy [kWh];Energy Price [Cent/kWh];Monthly Average Price [Cent/kWh];Dynamic Electricity Price [Cent/kWh];Static Electricity Price [Cent/kWh];Static Timevariant Electricity Price [Cent/kWh];Dynamic Timevariant Electricity Price [Cent/kWh];Dynamic Feed-in Price [Cent/kWh];Dynamic Feed-in Price U20 [Cent/kWh];Static Feed-in Price [Cent/kWh];Battery Charge [kWh];Battery Discharge[kWh];Battery SOC;Supply from Grid [kWh];Grid Feed-in [kWh]
2024-01-01 00:00:00;0.029440459;0.056310106;0.0;0.0;7.535;21.605;31.190669913427733;20.500669913427732;10.915;4.9130507;0.0;-99.9999999;-0.0;0.0;-0.0;0.029440459;0.0
2024-01-01 00:15:00;0.02931399;0.053480975;0.0;0.0;7.535;21.605;31.190669813427736;20.500669813427734;10.915;4.9130507;0.0;-99.9999998;0.0;0.0;-0.0;0.02931399;0.0
2024-01-01 00:30:00;0.02959229;0.05144245;0.0;0.0;7.535;21.605;31.190669713427734;20.500669713427733;10.915;4.9130507;0.0;-99.9999997;0.0;0.0;0.0;0.02959229;0.0
2024-01-01 00:45:00;0.029622952;0.0495888;0.0;0.0;7.535;21.605;31.190669613427733;20.500669613427732;10.915;4.9130507;0.0;-99.9999996;-0.0;0.0;0.0;0.029622952;0.0
2024-01-01 01:00:00;0.028780244;0.047800824;0.0;-0.001;7.535;21.60381;31.190669513427736;20.500669513427734;10.91381;4.912081;-0.00097000005;-99.9999995;-0.0;0.0;0.0;0.028780244;0.0
2024-01-01 01:15:00;0.029557714;0.046214763;0.0;-0.001;7.535;21.60381;31.190669413427734;20.500669413427733;10.91381;4.912081;-0.00097000005;-99.9999994;-0.0;0.0;-0.0;0.029557714;0.0
2024-01-01 01:30:00;0.029269204;0.044677358;0.0;-0.001;7.535;21.60381;31.190669313427733;20.500669313427732;10.91381;4.912081;-0.00097000005;-99.9999993;0.0;0.0;-0.0;0.029269204;0.0
2024-01-01 01:45:00;0.02852511;0.042976957;0.0;-0.001;7.535;21.60381;31.190669213427736;20.500669213427734;10.91381;4.912081;-0.00097000005;-99.9999992;0.0;0.0;0.0;0.02852511;0.0
2024-01-01 02:00:00;0.02895257;0.04246854;0.0;-0.003;7.535;21.60143;31.190669113427735;20.500669113427733;10.911431;4.9101405;-0.00291;-99.9999991;-0.0;0.0;0.0;0.02895257;0.0
2024-01-01 02:15:00;0.030198563;0.0413763;0.0;-0.003;7.535;21.60143;31.190669013427733;20.500669013427732;10.911431;4.9101405;-0.00291;-99.999999;-0.0;0.0;-0.0;0.030198563;0.0
